CCTV1,CCTV-1综合 - 待更新源
CCTV-1综合,http://111.162.207.175:8686/rtp/239.5.1.4:5000
CCTV-2财经,http://111.162.207.175:8686/rtp/239.5.1.5:5000
CCTV-3综艺,http://111.162.207.175:8686/rtp/239.5.1.101:5000
CCTV-4中文国际,http://111.162.207.175:8686/rtp/239.5.1.6:5000
CCTV-5体育,http://111.162.207.175:8686/rtp/239.5.1.102:5000
CCTV-5+体育赛事,http://111.162.207.175:8686/rtp/239.5.1.7:5000
CCTV-6电影,http://111.162.207.175:8686/rtp/239.5.1.103:5000
CCTV-7国防军事,http://111.162.207.175:8686/rtp/239.5.1.8:5000
CCTV-8电视剧,http://111.162.207.175:8686/rtp/239.5.1.104:5000
CCTV-9纪录,http://111.162.207.175:8686/rtp/239.5.1.9:5000
CCTV-10科教,http://111.162.207.175:8686/rtp/239.5.1.10:5000
CCTV-11戏曲,http://111.162.207.175:8686/rtp/239.5.1.137:5000
CCTV-12社会与法,http://111.162.207.175:8686/rtp/239.5.1.11:5000
CCTV-13新闻,http://111.162.207.175:8686/rtp/239.5.1.138:5000
CCTV-14少儿,http://111.162.207.175:8686/rtp/239.5.1.12:5000
CCTV-15音乐,http://111.162.207.175:8686/rtp/239.5.1.139:5000

# ====== 湖北电信中的CCTV频道 ======
CCTV16 4K,http://36.20.107.16/rtp/239.69.1.249:11136
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-1综合,http://36.20.107.16/rtp/239.254.96.96:8550
CCTV-2财经,http://36.20.107.16/rtp/239.69.1.102:10250
CCTV-3综艺,http://36.20.107.16/rtp/239.69.1.122:10370
CCTV4K,http://36.20.107.16/rtp/239.69.1.111:10304
CCTV-4中文国际,http://36.20.107.16/rtp/239.69.1.138:10466
CCTV 4K,http://36.20.107.16/rtp/239.69.1.12:9712
CCTV-4中文国际 欧洲,http://36.20.107.16/rtp/239.69.1.231:11028
CCTV-4中文国际 美洲,http://36.20.107.16/rtp/239.69.1.232:11034
CCTV-5体育,http://36.20.107.16/rtp/239.69.1.123:10376
CCTV-5+体育赛事,http://36.20.107.16/rtp/239.254.96.234:9484
CCTV-6电影,http://36.20.107.16/rtp/239.69.1.124:10382
CCTV-7国防军事,http://36.20.107.16/rtp/239.69.1.103:10256
CCTV-8电视剧,http://36.20.107.16/rtp/239.69.1.125:10388
CCTV-9纪录,http://36.20.107.16/rtp/239.69.1.104:10262
CCTV-10科教,http://36.20.107.16/rtp/239.69.1.105:10268
CCTV-11戏曲,http://36.20.107.16/rtp/239.69.1.154:10560
CCTV-12社会与法,http://36.20.107.16/rtp/239.69.1.106:10274
CCTV-13新闻,http://36.20.107.16/rtp/239.254.96.161:9040
CCTV-14少儿,http://36.20.107.16/rtp/239.69.1.107:10280
CCTV-15音乐,http://36.20.107.16/rtp/239.69.1.155:10566

# ====== 安徽电信中的CCTV频道 ======
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-1综合,http://114.107.47.54:8188/rtp/238.1.78.166:7200
CCTV-2财经,http://114.107.47.54:8188/rtp/238.1.78.235:7752
CCTV-3综艺,http://114.107.47.54:8188/rtp/238.1.78.170:7232
CCTV-4中文国际,http://114.107.47.54:8188/rtp/238.1.78.236:7760
CCTV4K超高清,http://114.107.47.54:8188/rtp/238.1.78.137:6968
CCTV-5体育,http://114.107.47.54:8188/rtp/238.1.78.171:7240
CCTV-5+体育赛事,http://114.107.47.54:8188/rtp/238.1.78.237:7768
CCTV-6电影,http://114.107.47.54:8188/rtp/238.1.78.172:7248
CCTV-7国防军事,http://114.107.47.54:8188/rtp/238.1.78.239:7784
CCTV-8电视剧,http://114.107.47.54:8188/rtp/238.1.78.173:7256
CCTV-9纪录,http://114.107.47.54:8188/rtp/238.1.78.240:7792
CCTV-10科教,http://114.107.47.54:8188/rtp/238.1.78.241:7800
CCTV-11戏曲,http://114.107.47.54:8188/rtp/238.1.78.206:7502
CCTV-12社会与法,http://114.107.47.54:8188/rtp/238.1.78.242:7808
CCTV-13新闻,http://114.107.47.54:8188/rtp/238.1.79.35:4392
CCTV-14少儿,http://114.107.47.54:8188/rtp/238.1.78.243:7816
CCTV-15音乐,http://114.107.47.54:8188/rtp/238.1.78.222:7648

# ====== 江苏电信中的CCTV频道 ======
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1综合,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-2财经,http://180.105.201.135:9981/rtp/239.49.8.130:6000
CCTV-2财经,http://180.105.201.135:9981/rtp/239.49.8.130:6000
CCTV-3综艺,http://180.105.201.135:9981/rtp/239.49.1.3:6000
CCTV-4中文国际,http://180.105.201.135:9981/rtp/239.49.8.131:6000
CCTV-5体育,http://180.105.201.135:9981/rtp/239.49.1.5:6000
CCTV-5+体育赛事,http://180.105.201.135:9981/rtp/239.49.8.18:9610
CCTV-6电影,http://180.105.201.135:9981/rtp/239.49.1.6:6000
CCTV-7国防军事,http://180.105.201.135:9981/rtp/239.49.1.254:6000
CCTV-8电视剧,http://180.105.201.135:9981/rtp/239.49.1.8:6000
CCTV-9纪录,http://180.105.201.135:9981/rtp/239.49.8.53:9814
CCTV-10科教,http://180.105.201.135:9981/rtp/239.49.8.134:6000
CCTV-10科教,http://180.105.201.135:9981/rtp/239.49.8.134:6000
CCTV-11戏曲,http://180.105.201.135:9981/rtp/239.49.1.11:6000
CCTV-12社会与法,http://180.105.201.135:9981/rtp/239.49.8.135:6000
CCTV-12社会与法,http://180.105.201.135:9981/rtp/239.49.8.135:6000
CCTV-13新闻,http://180.105.201.135:9981/rtp/239.49.1.13:6000
CCTV-14少儿,http://180.105.201.135:9981/rtp/239.49.8.136:6000
CCTV-14少儿,http://180.105.201.135:9981/rtp/239.49.8.136:6000
CCTV-15音乐,http://180.105.201.135:9981/rtp/239.49.1.15:6000

# ====== 卫视频道 ======
湖南卫视,rtp://239.76.253.159:8000
浙江卫视,rtp://239.76.253.158:8000
东方卫视,rtp://239.76.253.157:8000
北京卫视,rtp://239.76.253.156:8000
江苏卫视,rtp://239.76.253.155:8000
安徽卫视,rtp://239.76.253.154:8000
重庆卫视,rtp://239.76.253.153:8000
四川卫视,rtp://239.76.253.152:8000
天津卫视,rtp://239.76.253.151:8000
兵团卫视,rtp://239.76.253.150:8000
